Do you think India is growing in science and tech?,Should colleges include more research-based projects? ,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
0,1,,,,,,,,
0,1,,,,,,,,
0,1,,,,,,,,
0,0,,,,,,,,
0,0,,,,,,,,
0,0,,,,,,,,
0,1,,,,,,,,
1,0,,,,,,,,
1,1,,,,,,,,
0,1,,,,,,,,
1,0,,,,,,,,
1,1,,,,,,,,
0,0,,,,,,,,
1,1,,,,,,,,
1,0,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
0,0,,,,,,,,
0,0,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
0,1,,,,,,,,
0,1,,,,,,,,
0,0,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,0,,,,,,,,
0,0,,,,,,,,
0,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,0,,,,,,,,
1,1,,,,,,,,
0,0,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,0,,,,,,,,
1,0,,,,,,,,
1,0,,,,,,,,
0,0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
